Institute_name,Region_type,Institute_address,District,Pincode,Web_address,Email_address,Principal_name,Office_contact,personal_contact,Registrar_name,Autonomy_status
"MET's Institute of Technology Polytechnic, Bhujbal Knowledge City, Adgaon Nashik",Urban,"Bhujbal Knowledge City, Adgaon ,Nashik 422003",Nashik,422003,www.metbhujbalknowledgecity.ac.in,principal_iot@bkc.met.edu,Dr  Rajendra  S Narkhede,2555825 Ext.- 825,2555825 Ext.- 825,S. N. PILLAI,Non-Autonomous
"Jagdamba Edu Soc., Santosh N. Darade Polytechnic, Yeola, Nashik",Rural,"Babhulgaon, Yeola-Patoda Road, Nashik , 423401",Nashik,423401,www.sndpoly.com,sndpoly@rediffmail.com,Prof. A.M.JOSHI,225006 Ext.- , Ext.- ,Mr. Mahale S.N.,Non-Autonomous
"Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic, Nashik",Urban,"Khalasa Educational Complex, Guru Gobind Singh Marg,opp Simence Colony Nashik , 422009",Nashik,422009,www.ggsf.edu.in,ggsp.nashik@ggsf.edu.in,Shrihari Ravindra Upasani,2374063 Ext.- ,2374063 Ext.- ,C. K. Patil,Non-Autonomous
"NDMVPS Samaj's  Rajarshee Shahu Maharaj Polytechnic, Nashik",Urban,"Udhoji Maratha Boarding Campus,Gangapur Road, Near Pumping Station Nashik , 422013",Nashik,422013,rsmpoly.mvp.edu.in,1002principal@msbte.com,Dr. D. B. Uphade,2311019 Ext.- , Ext.- ,Mr. S. S. Wagh,Non-Autonomous
"Jamiya Islamiya Ishatul Olu's Jamiya Polytechnic, Akkalkuwa",Rural,"Dist ; Nandurbar, 425415",Nandurbar,425415,www.jamiapolytechnic.com,jamiapoly15@gmail.com,SHAIKH SAJID HUSAIN,252823 Ext.- ,252823 Ext.- ,Teli Mustakim S.,Non-Autonomous
"The People Education Society's, Diploma College Of Enggineering & Technology,Jamkhed",Urban,"Behind Police Line,Jamkhed Dist. Ahmednagar  413201",Ahmednagar,413201,www.pesjamkhed.com,pesdcet@gmail.com,Mr. Ghaytadak V. D.,221233 Ext.- ,221222 Ext.- ,Dahale S.H,Non-Autonomous
"Mahavir Polytechnic, Nashik",Rural,"Sr.No. 166, Village Varwandi Tal : Dindori, Via Meri, Nashik , 422005",Nashik,422005,www.shreemahavir.org,principalpolytechnic@shreemahavir.org,Prof. S.V.Sagare,259088 Ext.- , Ext.- ,Prof. S.V.Sagare,Non-Autonomous
"Nashik Gramin Shikshan Prasarak Mandals Brahma Valley Polytechnic, Nashik",Rural,"Gat No.592/B, Village Anjaneri, Tribkakeshwar Nashik , 422213",Nashik,422213,www.brahmavalley.com,principal.bvcte.0778@gmail.com,Prof. V.P. Nikhade,220152 Ext.- ,220200 Ext.- ,Bendkule Dipak Kisan,Non-Autonomous
"Late Bhausaheb Hiray Smarnika Samiti Trust Sanchalit Polytechnic, Malegaon, Nashik",Urban,"Nagarpalika Marathi School No. 5 Near Ravalgaon Naka  Nashik , 423105",Nashik,423105,www.hiray.org.in,principal99.kbhsst@gmail.com,Mr. Sunil M. Khangal,252539 Ext.- ,252546 Ext.- ,Yohesh M.Shimpi,Non-Autonomous
"Amrutvahini Sheti & Shikshan Vikas Sanstha's Amrutvahini Polytechnic, Amrutnagar",Rural,"At- Amrutnagar Post Sangamner S.K., Ahmednagar , 422608",Ahmednagar,422608,www.amrutpoly.co.in,amrutvahinipolytechnic@gmail.com,Prof. V. B. Dhumal,259014 Ext.- 301, Ext.- ,KULKARNI BHALCHANDRA LAXMAN,Non-Autonomous
"Poojya Sane Guruji Vidhya Prasarak Mandal's  G. M. Choudhari Polytechnic, Shahada",Rural,"P.B. No. 63, Shahada, Nandurbar , 425409",Nandurbar,425409,www.polytechnic.psgvpmandal.com,0057principal@msbte.com,Shri. Brajesh Kumar Soni,229740 Ext.- , Ext.- ,M.S.Patil,Non-Autonomous
"Om Sai Shikshan Prasarak Sanstha's Aamdar Kashinathji Mengal Polytechnic, Igatpuri, Nashik",Rural,At Laxminagar Post Mundegaon Tal.Igatpuri Dist. Nashik,Nashik,422403,www.akmpoly.com,principal.akmp@gmail.com,Mr.M.S.Wani, Ext.- , Ext.- ,Tryambak shankar damale,Non-Autonomous
"Technical & Medical Education Society's J. T. Mahajan Polytechnic, Faizpur",Rural,"Nhavimarg, Faizpur Jalgaon , 425524",Jalgaon,425524,www.jtmpoly.ac.in,jtmpfaiz@gmail.com,Shri. Pradeep Bhagwat Patil,248156 Ext.- 501,248556 Ext.- ,Shri.Ramanlal Ghanashyam Mahajan,Non-Autonomous
"Shri Shivaji Viddhya Prasarak Sanstha's Bapusaheb Shivajirao Deore Polytechnic, Dhule",Urban,"Post Box No.113, Vidyanagari, Deopur, Dhule  424005",Dhule,424005,www.ssvps.org,kachave@gmail.com,Prof. Pramod Kachave,272713 Ext.- 400,273703 Ext.- ,Shri J.S.Patil,Non-Autonomous
"K.K Wagh Education Society's K. K. Wagh Polytechnic, Nashik",Urban,"Hirabai Haridas Vidyanagari, Amrutdham, Panchavati, Nashik.  422003",Nashik,422003,www.poly.kkwagh.edu.in,principal-poly@kkwagh.edu.in,Prof. Kadave P.T.,2517006 Ext.- ,2620038 Ext.- ,Shinde Sunil R.,Non-Autonomous
"Shri Krishna Education & Cultural Mandal, Shri Gulabrao Deokar Polytechnic, Jalgaon",Urban,"Gat No. 56, Mohadi Shivar, Shirsoli Road,  Jalgaon , 425002",Jalgaon,425002,www.sgdpjalgaon.org,principal@sgdpjalgaon.org,Shri R. V. Patil,2264871 Ext.- 0257,2264871 Ext.- 0257,Dr. M.P.Patil,Non-Autonomous
"Shree Sant Muktabai Sansthan's Shri Sant Muktabai Institute of Technology, Jalgaon",Urban,"B.J Nagar Pimparala Road, P.Box No 132, Jalgaon , 425001",Jalgaon,425001,www.muktaieducation.org,smitcollegejalgaon@gmail.com,Miss. V.S.Neve ( I/C Principal),2250500 Ext.- ,2250776 Ext.- ,Patil Diwakar Jijabrao ,Non-Autonomous
"Sanjay Education Society's Polytechnic, Wadibhokar, Dhule",Rural,"Wadibhokar(Dhule) Dhule , 424005",Dhule,424005,www.sanjayeducationsociety.org,sespolytechnicdhule@gmail.com,Prof. P. R. BACHHAV,275368 Ext.- ,275308 Ext.- ,SHRI YOGESH B PATIL,Non-Autonomous
"Shri Neminath Jain Bramhacharyasharam's Shri H. H. J. B. Polytechnic,Chandwad ",Rural," A/p Neminagar ,Tal Chandwad Nashik , 423101",Nashik,423101,www.shhjbpoly.org,shhjbpoly@rediffmail.com,Dr.V.A.Wankhede,252127 Ext.- ,253857 Ext.- ,Kango Anil Vasant,Non-Autonomous
"Mgts Mandal's Sharadchandrika Suresh Patil Institute Of Technology(Polytechnic), Chopda",Rural,"Yawal Road, Chopda Jalgaon , 425107",Jalgaon,425107,www.polychopda.org,0061principal@msbte.com,Shri. V. N. Borse,222100 Ext.- 222,222100 Ext.- 101,Shri.P.A.Deshmukh,Non-Autonomous
"Sanjivani Rural Education Society's Sanjivani K.B.P. Polytechnic, Kopargaon",Rural,"At Sahajanad nagar, Post Shinganapur Tal: Kopargaon, Ahmednagar , 423603",Ahmednagar,423603,www.sanjivanikbp.org.in,kbppolykpgn@rediffmail.com,Prof.Abhijeet Ramesh Mirikar,9130191301 Ext.- 201, Ext.- ,Wakchaure Shridhar Bhausaheb,Non-Autonomous
"Shri Chhatrapati Shivaji Shikshan Sanstha's Indira Gandhi Poly. Belwandi (su) ,Tal-Shrigonda  Dist- Ahmednagar",Rural,"A.P. Belwandi (sugur) ,Tal-Shrigonda , Tal-Shrigonda  Ahmednagar , 413702",Ahmednagar,413702,www.igpbelwandi.org.in,0033principal@msbte.com,Shri. Sanjaykumar Bhanudas Gore,250237 Ext.- ,252889 Ext.- ,Shri Nagawade B.B,Non-Autonomous
"Mahatama Gandhi Vidyamandir's College of Hotel Management & Catering Technology , Nashik",Urban,"Mumbai-Agra Highway, Panchavati, Nashik",Nashik,422033,www.mgv.edu/hmct,mgvihmct@rediffmail.com,Prof.Nitin Ramchandra Jadhav,2628281 Ext.- ,2628281 Ext.- ,Aashok Ghumare,Non-Autonomous
"Pravara Rural College of Architecture, Loni",Rural,"Pravara Rural College of Architecture, At Post Loni, Tal. Shrirampur,Dist. Ahmednagar",Ahmednagar,413736,pravara.in,principalprca@yahoo.co.in,Prof. Jagtap Rajeshwari Vishwanath,274295 Ext.- 02422, Ext.- ,Sunil Tukaram Vikhe,Non-Autonomous
"Shri. Gurudatta Shikshan Sansthas  Loknete Dr. J.D. Pawar College of Pharmacy, Manur",Rural,"At. Post. Manur, Taluka Kalwan, Dist. Nashik",Nashik,423501,www.piper2008.com,copharmkalwan@gmail.com,Maru Avish Dwarkadas,222880 Ext.- ,222880 Ext.- ,Vivek Hari Borase,Non-Autonomous
"Kalyani Charitable Trust, Ravindra Gambhirrao Sapkal College of Pharmacy, Anjaneri Tal. Trimbakeshwar Dist. Nashik",Rural,"Sapkal Knowledge Hub Orchid International School Complex, Kalyani Hills, Anjaneri, Tal. Trimbakeshwar  Dist. Nashik",Nashik,422213,www.sapkalknowledgehub.org,rgspharmacy@rediffmail.com,Dr. R. B. Saudagar (M.Pharm.Ph.D.),220163 Ext.- 162,220163 Ext.- 162,Patil S. N.,Non-Autonomous
"Nagaon Education Society's Gangamai Polytechnic, Nagaon, Dhule",Rural,"A.P. Nagaon, Dhule , 424001",Dhule,424005,www.gangamaipolytechnic.org.in,gangamai.polytechnic@gmail.com,Dr. Nilesh A. Suryawanshi,243260 Ext.- 02562,243260 Ext.- 02562,SONAWANE RAMESH R.,Non-Autonomous
"Kai Yashodabai Dagadu Saraf Charitable Trust's College of Pharmacy, Sakegaon",Urban,"N.H.No.6,  Sakegaon,  Tal. Bhusawal Dist. Jalgaon",Jalgaon,425201,www.bpharmacysakegaon.org,copsakegaon@rediffmail.com,Dr. Parag Ramchandra Patil,255125 Ext.- , Ext.- ,Dhanraj Pandit Talele,Non-Autonomous
"A.J.M.V.P.S. Institute of Hotel Management & Catering Technology College, Ahmednagar",Urban,"Lal Taki Road, Near Law College, Ahmednagar",Ahmednagar,414001,www.ihmct.in,ihmctajmvps@gmail.com,Yogita Sanjay Sadre,2326778 Ext.- ,2326778 Ext.- ,Idhate P. B.,Non-Autonomous
"Royal College of Pharmacetical Education & Research, Sione, Khrud, Malegaon ",Rural,"Sayene Khurd, Malegaon,534, M.H.B. Colony Malegaon Dist. Nashik",Nashik,423203,www.royalpharmacy.in,royalmukhtar@gmail.com,Dr. Masood Ahmed Siddiqui,230534 Ext.- ,233908 Ext.- ,Shaikh Mukhtar ,Non-Autonomous
"MET's, Institute of Pharmacy,Bhujbal Knowledge City, Metleague Colleges, Adgaon, Nashik",Urban,"1071, Bhujbal Knowledge City, Adgaon, Nashik",Nashik,422003,www.metbhujbalknowledgecity.ac.in,principal_iop@bkc.met.edu,Dr. Sanjay J. Kshirsagar,2555860 Ext.- 860, Ext.- ,Mr. S. L. Khairnar,Non-Autonomous
"Kisan Vidya Prasarak's K.V.P.S. Institute of Pharmaceutical Education, Boradi, Shirpur, Dhule",Rural,"A-P Boradi, Tal- Shirpur, Dist- Dhule",Dhule,425428,www.vvripeboradi.kvpsshirpur.org,boradipharmacy@rediffmail.com,Dr.P.H.Patil,284202 Ext.- ,284202 Ext.- ,MR.P.N.Dhakad,Non-Autonomous
"Shri. Vivekanand Nursing Home Trust, College of Pharmacy, Rahuri Factory, Ahmednagar",Rural,"Rahuri Factory, Tal Rahuri, Dist. Ahmednagar",Ahmednagar,413706,www.svnhtcop.edu.in,svnhtcop@gmail.com,DR.SANJAY G WALODE,02426251 Ext.- 397, Ext.- ,Mhase Rajendra Sitaram,Non-Autonomous
"MGVM's Samajshri Prashantdada Hiray College of Pharmacy, Malegaon Camp, Malegaon",Rural,"Loknete Vyankatraoji Hiray Marg, Malegaon Camp, Malegaon  Dist. Nashik ",Nashik,423105,www.mgv.org.in,sphmgv@yahoo.co.in,Dr. S. R. Tambe ,252563 Ext.- ,252563 Ext.- ,Shri. G. P. Chaudhary ,Non-Autonomous
"Department  of Business Management, Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur",Urban,"Law college compound, Amravati Road, Nagpur",Nagpur,440001,www.dbmnu.net,dbmrtmnu4001@gmail.com,Dr. Anant M. Deshmukh,2525389 Ext.- , Ext.- ,.,Non-Autonomous
"Nagaon Education Society Gangamai College of Pharmacy, Nagaon,Dhule",Rural,"Nagaon , Tal-Dist Dhule ",Dhule,424005,www.gcp.org.in,nesgangamai.pharmacy@rediffmail.com,Dr.Anilkumar Uttamchand Tatiya,243181 Ext.- ,243181 Ext.- ,Mr. Vasudeo R. Patil,Non-Autonomous
"Pravara Rural Education Society's Padmashri Dr. Vittalrao Vikhe Patil Institute of Technology and Engineering Polytechnic ,Pravaranagar",Rural,"A/P Loni Bk.-413 713, Taluka Rahata,Ahmednagar  413736",Ahmednagar,413736,www.pravara.in,principal.polyloni@pravara.in,Dr.V.R.Rathi,272151 Ext.- ,273484 Ext.- ,Shri. P.J. Dangat,Non-Autonomous
"Shellino Education Society's Arunamai College of Pharmacy, Mamurabad, Jalgaon.",Rural,Gat No 285 Mamurabad Dist. Jalgaon,Jalgaon,425401,www.shellinoeducation.com,jalpharmaedu@gmail.com,Prof. Dr. T. A. Deshmukh,9403710774 Ext.- ,9403739090 Ext.- ,Mrs K. N. Ingale,Non-Autonomous
"Shri Sureshdada Jain Institute Of Pharmaceutical Education and Research,Jamner Dist- Jalgaon",Rural,"Bhusawal Road, Jamner Dist. Jalgaon",Jalgaon,424206,www.jtesociety.com,ssjiper_jamner@rediffmail.com,Dr. S. D. Barhate,233478 Ext.- ,233478 Ext.- ,Vinay Ramdas Mahajan,Non-Autonomous
Pravara Rural Education Society's College of Pharmacy (For Women) Chincholi Dist Nashik,Rural,"At Post Chincholi (Via Nashik Road), Tq.Sinnar Dist. Nashik",Nashik,422101,www.pravaracopc.org,pravaracopc@yahoo.co.in,DR. PRIYA S. RAO,271178 Ext.- , Ext.- ,S B Magar,Non-Autonomous
"S.M.B.T. College Of Pharmacy Nandi Hills,Dhamangaon, Nashik.",Rural,Nandi Hill At Post Dhamangaon Tal : Igatpuri Dist Nashik ,Nashik,422403,www.smbt.edu.in,smbtcop@smbt.edu.in,Dr.A.S.Dhake,282468 Ext.- ,282352 Ext.- ,Mr. S.B. Dhikale,Non-Autonomous
"Jagdamba Education Soceity,S.N.D. College of Pharmacy Babhulgaon, Nashik",Rural,"A/p Babhulgaon, Tal- Yeola. Dist- Nashik ",Nashik,423401,www.sndpharmacy.com,sndcollegeofpharmacy@rediffmail.com,Prof. Dr. Kalkotwar Ramesh Shankarrao,225042 Ext.- ,225041 Ext.- ,Mr. Katkade Sachin Kacharu,Non-Autonomous
"Nasik Gramin Shikshan Prasarak Mandal's College of Pharmacy, Anjneri , Nashik-Trimbak Road, Nashik",Rural,"Brahma Valley Educational Campus, At Post Anjaneri, Tal. Trimbakeshwar Dist. Nashik",Nashik,422213,www.brahmavalley.com,gtalele@yahoo.com,Dr. G. S. Talele,220147 Ext.- ,220146 Ext.- ,Ambepure Sunil Motiram,Non-Autonomous
Mula Education Society's College of Pharmacy.Sonai,Rural,A/P  Sonai Tal Newasa Dist-Ahmednagar,Ahmednagar,414105,www.mespharmacy.org.in,mescopsonai@gmail.com,Deshmukh V.K.,230948 Ext.- , Ext.- ,Chavan M.A.,Non-Autonomous
"Padmashree Dr. Vithalrao Vikhe Patil Foundation's College of Pharmacy, Ahmednagar",Rural,"Vilad Ghat, P.O.MIDC, Ahmednagar",Ahmednagar,414111,www.vikhepharmacynagar.com,pdcopha_anrr@rediffmail.com,Dr. P.Y.Pawar,2778044 Ext.- 24,2777217 Ext.- ,Mhaske Ramesh Babasaheb,Non-Autonomous
"H. R. Patel Institute of Phamaceutical Educatiion & Research ,Shirpur, Dhule",Rural,"Karwand Naka, Shirpur Dist. Dhule",Dhule,425405,www.hrpatelpharmacy.co.in,registrar@hrpatelpharmacy.co.in,Dr. Sanjaykumar B. Bari,257599 Ext.- 101,257599 Ext.- 101,Mr. Sanjay D. Bagul,Non-Autonomous
"Tapi Valley Education Society's Hon'ble Loksevak Madhukarrao Chaudhari College of Pharmacy, Faizpur",Rural,"Nehru Vidyanagar, Faizpur, Tal. - Yawal. Dist. Jalgaon ",Jalgaon,425503,www.hlmccollegeofpharmacyfaizpur.org,copharmafaizpur@yahoo.com,Dr.V.R.Patil,245574 Ext.- , Ext.- ,A.D.Fegade,Non-Autonomous
"P.S.G.V.P.M.'s College of Pharmacy, Shahada",Rural,"Poojya Sane Guruji Vidya Prasarak Mandal's College of Pharmacy, Shahada, Dist. Nandurbar",Nandurbar,425409,www.pharmacy.psgvpmandal.com,copshd@gmail.com,Dr.S.P.Pawar,229168 Ext.- ,229002 Ext.- ,D.D. PATIL,Non-Autonomous
"K.B.H.S.S. Trust's Institute of Pharmacy, Malegaon Camp, Malegaon, Nashik",Urban,"K.B.H.S.S. Trust's Institute of Pharmacy, Bhaygaon Road, Opp. Jajuwadi, Malegaon Camp, Malegaon Dist. Nashik",Nashik,423105,www.hiray.org.in,kbh_pharma@yahoo.co.in,Dr.  V.A. Bairagi,250976 Ext.- ,250976 Ext.- ,Borse Pramod Ramrao,Non-Autonomous
"MGSM's Smt. Sharadchandrika Suresh Patil  College of Pharmacy, Chopda",Urban,"Chopda, Dist. Jalgaon",Jalgaon,425107,www.pharmacychopda.org,bpharmchopda@yahoo.com,Dr.Gautam Prakash Vadnere,222366 Ext.- ,223150 Ext.- ,More Prafulla B.,Non-Autonomous
"Amrutvahini College of Pharmacy, Sangamner",Rural,"At & Post - Amrutnagar, (Ghulewadi), Tal. - Sangamner Dist. Ahmednagar",Ahmednagar,422608,www.amrutpharm.co.in,principal@amrutpharm.co.in,Dr. M. J. Chavan,259335 Ext.- ,259335 Ext.- ,ZOLEKAR R. V.,Non-Autonomous
"SNJB's Shriman Sureshdada Jain College of Pharmacy, Neminagar, Chandwad, Nashik",Rural,"S. N. J. B's Shriman Sureshdada Jain College of Pharmacy, A/P.Neminagar, Tal. Chandwad, Dist. Nashik",Nashik,423101,www.snjb.org,principalcop@snjb.org,Dr. Chandrashekhar Devidas Upasani,253179 Ext.- ,253179 Ext.- ,-,Non-Autonomous
"R. C. Patel Institute of Pharmaceutical Education and Research, Shirpur",Rural,"Near Karwand Naka, Shirpur Dist. Dhule",Dhule,425405,www.rcpatelpharmacy.co.in,sjsurana@yahoo.com,Dr.S.J. Surana,255189 Ext.- 101,251809 Ext.- 100,JITESH G JADHAV,Non-Autonomous
"Pravara Rural Education Society's Pravara Rural College of Pharmacy,Pravararanagar",Rural,"A/P-Loni BK, Tal. - Rahata  Dist. Ahmednagar",Ahmednagar,413736,www.pravarapharmacy.in/Pravara_Pharmacy_Rural_Loni/,pravarapharmacy@rediffmail.com,Dr. Priya Rao,273526 Ext.- ,273528 Ext.- ,Shri. R.S.Tambe,Non-Autonomous
"Amruta Vaishnavi Education & Welfare Trust's Shatabdi Institute of Engineering & Research, Agaskhind Tal. Sinnar",Rural,"At- Agaskhind, Post Shenit (Via Deolali Camp-Bhagur), Tal. Sinnar  Dist. Nashik",Nashik,422501,www.sier.org.in,siermainoffice@gmail.com,Prof. Pankaj G. Vispute,304203 Ext.- 02551, Ext.- ,AKOLKAR NARESH S,Non-Autonomous
"Shri Chhatrapati Shivaji College of Engineering, (Rahuri Factory), Tal.Rahuri, Dist.Ahmednagar",Rural,"Shree Shivaji Nagar (Rahuri Factory), Tal. Rahuri,  Dist. Ahmednagar ",Ahmednagar,413706,www.scscoe.org,scsc_eng@yahoo.in,Dr. Sable Kishor Sambhaji,251200 Ext.- 21,9156532111 Ext.- ,Shri. Adhav Yogesh Janardhan,Non-Autonomous
"Gokhale Education Society's, R.H. Sapat College of Engineering, Management Studies and Research, Nashik",Urban,"Vidyanagar, College Road, Nashik 422 005",Nashik,422005,www.ges-coengg.org,principal@ges-coengg.org,Dr. P. C. Kulkarni,2311842 Ext.- , Ext.- ,BRAHMAKSHATRIY ANIL D.,Non-Autonomous
"Vishwabharati Academy's College of Engineering, Ahmednagar",Rural,"Sarola Baddi ,Jamkhed Road ,  Ahmednagar",Ahmednagar,414201,www.vacoea.com,principal_vacoea@yahoo.com,Dr. Pranay Ajabrao Makasare,2660033 Ext.- 201,2660033 Ext.- 201,Mr.Bargale R.P.,Non-Autonomous
"G. H. Raisoni College of Engineering and Management, Ahmednagar",Rural,"G.No.1030, At/Post-Chas,Nagar-Pune Road, Ahmednagar",Ahmednagar,414005,ghrcemahm.raisoni.net,ghrcemahm@raisoni.net,Dr.Jayakumar Jayaraman,2570123 Ext.- 202,2570123 Ext.- 207,Mr.Sunil R.Dhobe,Non-Autonomous
"Sanjivani Rural Education Society's Sanjivani College of Pharmaceutical & Research, Kopargaon",Rural,"At -Sahajanandnagar , Post-Shingnapur Tal Kopargaon Dist. Ahmednagar ",Ahmednagar,423603,www.sanjivanipharm.org.in,principalbpharm@sanjivani.org.in,Dr.Kishor Sahebrao Salunkhe,9130191301 Ext.- 181,9511206051 Ext.- ,kolhe Nana Janardhan,Non-Autonomous
"R. C. Patel Institute of Technology, Shirpur",Urban,"Near Nimzari Naka, Shirpur Dist. Dhule",Dhule,425405,www.rcpit.ac.in,registrar@rcpit.ac.in,Prof. Dr. J. B. Patil,259600 Ext.- 201,259600 Ext.- ,Prashant Mahajan,Non-Autonomous
"Godavari Foundation's Godavari College Of Engineering,  Jalgaon",Urban,"Plot No.51, Dr. Ulhas Patil Nagar, Additional MIDC, Bhusawal Road, N.H.No.6, Jalgaon",Jalgaon,425003,engg.godavarifoundation.org,gcoe2008@gmail.com,DR VIJAY HARI PATIL ,2212999 Ext.- 105,2213500 Ext.- 105,Ishwar Shenfadu Jadhav,Non-Autonomous
"Kalyani Charitable Trust, Late Gambhirrao Natuba Sapkal College of Engineering, Anjaneri, Trimbakeshwar Road, Nashik",Rural,"Sapkal Knowldege Hub,Kalyani Hills, Anjaneri- Wadholi, Tal. Trimbak, Nashik",Nashik,422213,www.sapkalknowledgehub.org,gns_engineering@sapkalknowledgehub.org,Prof (Dr.) Sahebrao B. Bagal,220175 Ext.- 000,220175 Ext.- 2001,Mrs. shrushti J. Shinde,Non-Autonomous
"Hindi Seva Mandal's Shri Sant Gadgebaba College of Engineering & Technology, Bhusawal",Rural,"Near Z.T.C Bhusawal, Dist. Jalgaon",Jalgaon,425203,www.ssgbcoet.com,rps125@rediffmail.com,"Dr. R. P. Singh (Approved by N.M.U., Jalgaon)",221719 Ext.- 20,221719 Ext.- 20,Dr R P Singh,Non-Autonomous
"Nagaon  Education Society's Gangamai College of Engineering, Nagaon, Tal Dist Dhule",Rural,"Nagaon At Post. Nagaon, Tal&Dist.  Dhule",Dhule,424005,www.gangamaiengg.org,nagaonengg@rediffmail.com,Dr. Adwait M. Vaidya,243170 Ext.- ,243000 Ext.- ,Shri. J. F. Patil,Non-Autonomous
"Matoshri College of Engineering and Research Centre, Eklahare, Nashik",Rural,"At Post Eklahare, Taluka & District Nashik",Nashik,422105,www.mcoerc.org,gkkharate@rediffmail.com,Dr. G.K. Kharate,2406600 Ext.- 01,2406600 Ext.- ,Mr. Nagare Baban .T.,Non-Autonomous
"Sanjay Education Society's College of Engineering, Navalnagar",Rural,"Navalnagar, Tal & Dist. Dhule ",Dhule,424318,www.sescoe.org,coenavalnagar@gmail.com,Dr. B.K. Mukherjee,260238 Ext.- ,260245 Ext.- ,Prof. P. R. Gawande ,Non-Autonomous
"SNJB's Late Sau. Kantabai Bhavarlalji Jain College of Engineering,  (Jain Gurukul), Neminagar,Chandwad,(Nashik)",Rural,"Jain Gurukul, Neminagar, Chandwad Dist.  Nashik",Nashik,423101,www.snjb.org,principalcoe@snjb.org,Dr. Kokate M D ,205527 Ext.- ,253752 Ext.- ,Mr. Jadhav M M,Non-Autonomous
"P.S.G.V.P. Mandal's D.N. Patel College of Engineering, Shahada, Dist. Nandurbar",Rural,"Poojya Sane Guruji Vidya Prasarak Mandal's, D.N. Patel College of Engineering, Shahada, Dist. Nandurbar",Nandurbar,425409,www.coeshahada.ac.in,principal@coeshahada.ac.in,PROF. DR. N. J. PATIL,229649 Ext.- ,229649 Ext.- ,Shri. D. N. Patil,Non-Autonomous
"Amrutvahini Sheti & Shikshan Vikas Sanstha's Amrutvahini College of Engineering, Sangamner",Rural,"P.O.: Sangamner Sakhar Karkhana, Tal : Sangamner, Dist. Ahmednagar",Ahmednagar,422608,www.avcoe.org,principal@avcoe.org,Dr.M.A.VENKATESH,259096 Ext.- 201,259148 Ext.- 201, Prof. V. P. Waghe,Non-Autonomous
"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Rural,"vadgaon Gupta, Vilad Ghat, P.O.-MIDC, Ahmednagar ",Ahmednagar,414111,www.enggnagar.com,prin_coea@yahoo.com,Dr. Uday Naik,2777296 Ext.- 305,2779496 Ext.- 305,Mr. A.T.Bhosale,Non-Autonomous
"Sanjivani Rural Education Society's Sanjivani College of Engineering, Kopargaon",Rural,"Sahajanand Nagar, Po : Shingnapur, Tal : Kopargaon, Dist. Ahmednagar ",Ahmednagar,423603,www.sanjivanicoe.org.in,principalcoe@sanjivani.org.in,Dr. D.N.Kyatanavar,9130191301 Ext.- 101,222469 Ext.- 401,Shri K.M. Bhavsar,Autonomous
"Nashik District Maratha Vidya Prasarak Samaj's College of Architecture, Nashik.",Urban,"Udoji, Maratha Boarding Campus, Off. Gangapur Road, Nashik",Nashik,422013,www.cansnashik.org,cansnashik@mvp.edu.in,Dr. Prajakta Baste,2570822 Ext.- 21, Ext.- ,Mr. Sandip N. Nathe,Non-Autonomous
"Mahatma Gandhi Vidya Mandir's Pharmacy College, Panchavati, Nashik",Urban,"6th floor, K.B.H. Dental College & Hospital Building, Mumbai-Agra Road, Panchavati, Nashik",Nashik,422003,www.mgv.org.in,mgvpharmacycollege@gmail.com,Dr Rajendra Sudhakar Bhambar,2628201 Ext.- ,2628201 Ext.- ,Pagar ,Non-Autonomous
"T.M.E. Society's J.T.Mahajan College of Engineering, Faizpur",Rural,"Jivram Nagar, ,Nhavi Marg, PO:Faizpur(MSSK),  Dist. Jalgaon ",Jalgaon,425524,www.jtmcoef.ac.in,jtmcoef@rediffmail.com,Dr. Nandini  Chaudhari,248256 Ext.- 113,248179 Ext.- ,Pradip Vishnu Chaudhari,Non-Autonomous
"G. H. Raisoni Institute of Business Management,Jalgaon",Urban,"Gat No 57,(Pachora Road)Shirsoli Road, At post Mohadi,  Jalgaon  425003",Jalgaon,425002,www.raisoni.net,preeti.agarwal@raisoni.net,Dr. Preeti V. Agarwal,2264881 Ext.- 301, Ext.- ,Dinesh Ahirrao,Non-Autonomous
"MET Bhujbal Knowledge City MET League's Engineering College, Adgaon, Nashik.",Urban,"Bhujbal Knowledge City , MET's Institute Of Engineering, Adgaon, Nashik",Nashik,422003,www.metbhujbalknowledgecity.ac.in,vpwani@gmail.com,Dr. V. P.Wani,2303515 Ext.- 925, Ext.- ,Shri. S. L. Khairnar,Non-Autonomous
"R.C. Patel Educational Trust, Institute of Management Reasearch & Development, Shirpur",Rural,"Near Karwand Naka, R.C.Patel School complex, Subhash colony, Dhule  425405",Dhule,425405,rcpimrd.ac.in,vaishali.imrd@gmail.com,Prof. Dr. Vaishali B.Patil,251028 Ext.- ,251028 Ext.- ,Mrs.Vaishali A.Gorle,Non-Autonomous
